# doc_id=5-LST-0002 discipline=5 revision=R0
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
,Client Name,,,,,,,Data Sheet,,,,,,,,,,Aker Kvaerner,,,,,,
,Project Title,,,,,,,Tie Point List,,,,,,,,,,Chemetics,,,,,,
,Location,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,Standard-5-LST-0002-R0,,,,,,
,Commentary,,,,,,,,,,,,,,,,,,,,,,,
,1.0,Refer to 1-DST-0001: Site Design Conditions commentary.,,,,,,,,,,,,,,,,,,,,,,
,2.0,Revision (Column A),,,,,,Project engineer will coordinate the next revision.  Any data changes on a line relevant to the Line List will be noted with a revision mark in this column.,,,,,,,,,,,,,,,,
,3.0,Tie Point Number,,,,,,As per P&ID.,,,,,,,,,,,,,,,,
,4.0,Battery Limit Number,,,,,,Refer to appropriate Battery Limit Stream for process information.,,,,,,,,,,,,,,,,
,5.0,Line Number,,,,,,As per 5-PRC-0004: Line List Development & Approval commentary.,,,,,,,,,,,,,,,,
,6.0,Owner Line Number,,,,,,Insert columns to suit the project.,,,,,,,,,,,,,,,,
,7.0,P&ID,,,,,,As per P&ID.,,,,,,,,,,,,,,,,
,8.0,Design Conditions,,,,,,As per 5-LST-0001: Line List.,,,,,,,,,,,,,,,,
,9.0,Tie Point Connection,,,,,,Type of connection will agree with 1-LST-0001: Battery Limits Conditions.,,,,,,,,,,,,,,,,
,10.0,Pressure Relief,,,,,,As per 5-PRC-0004: Line List Development & Approval commentary.,,,,,,,,,,,,,,,,
,11.0,Tie Point Location,,,,,,As per 5-PRC-0004: Line List Development & Approval commentary.,,,,,,,,,,,,,,,,
,12.0,Remarks,,,,,,"Could be pipe support detail, fluid description, etc.",,,,,,,,,,,,,,,,
