,,,,,,
Category,Parameter,Value,Unit,Formula/Note,,
INPUT,Fluid Density (rho),1000,kg/m3,At operating temperature,,
INPUT,Operating Temp,40,C,,,
INPUT,Vapor Pressure (Pv),0.08,bar(a),Absolute pressure,,
INPUT,Suction Vessel Pressure (Ps_v),1.2,bar(g),Gauge pressure,,
INPUT,Discharge Vessel Pressure (Pd_v),6.5,bar(g),Gauge pressure,,
INPUT,Rated Flow Rate (Q),120,m3/h,Normal flow + 10% margin,,
INPUT,Suction Static Head (zs),4.5,m,Height above pump CL,,
INPUT,Discharge Static Head (zd),15,m,Height above pump CL,,
INPUT,Suction Friction Loss (hf_s),0.8,m,Includes valves and strainers,,
INPUT,Discharge Friction Loss (hf_d),2.5,m,Includes valves and piping,,
CALC,Atmospheric Pressure,1.01325,bar,Adjust for altitude,,
CALC,Total Suction Head (Hs),26.26851025,m,Resulting Suction Head,,
CALC,Total Discharge Head (Hd),94.11261025,m,Resulting Discharge Head,,
CALC,Differential Head (H),67.8441,m,Pump Head Requirement,,
CALC,Hydraulic Power (Phyd),22.1850207,kW,Theoretical Power,,
OUTPUT,Estimated Efficiency (n),0.72,decimal,From manufacturer curve (0.72 = 72%),,
OUTPUT,Brake Horsepower (BHP),30.81252875,kW,Actual power at shaft,,
OUTPUT,API 610 Motor Margin,1.15,multiplier,15% margin for 22-55kW range,,
OUTPUT,Required Motor Rating,35.4344080625,kW,Minimum motor size,,
