# doc_id=5-LST-0005 discipline=5 revision=R1
col_0,col_1,Item,Record,Action,By,Comments
,A,Civil,,,,
,,"Review sump locations, slopes, bunded area requirements, drains and routing.",,,,
,,"Underground services, including fire main",,,,
,,Concrete Protective coatings/tiling requirements,,,,
,,"Access requirements under vessels (grillages, drains, piping etc)",,,,
,,Roadway and walkways,,,,
,,"Building requirements, type and scope",,,,
,,"Requirements for equipment maintenance within buildings, lifting, roof openings, road access.",,,,
,,Grading and finish requirements,,,,
,B,Structural,,,,
,,"Contract access requirements, equipment, man ways and instruments (stairways/ladders/platforms)",,,,
,,Pipe racks and cable tray routings and sizing,,,,
,,Piping and ducting supports,,,,
,,Vessel grillage requirements,,,,
,,"Structural requirements for equipment maintenance (spare pump racks, support for overhead cranes)",,,,
,,"Clarify materials and paint specification for structures, stairways, ladders and walkways.",,,,
,C,Mechanical,,,,
,,Access to vessel man ways and instruments,,,,
,,Maintenance access for heat exchanger tubes and or plates,,,,
,,"Access for maintenance and replacement of filters, cells, de-misting elements strainers etc.",,,,
,,"Crane access for equipment replacement, catalyst screening and major maintenance work",,,,
,,Location of steam venting/pressure relief,,,,
,,"Maintenance access to equipment, vessels, blowers, fans and pumps",,,,
,,Emergency Access Ways,,,,
,,"Location and access to, Safety Showers",,,,
,,"Ensure adequate provision for dealing with solid and liquid waste products from filters, strainers, sumps and drains.",,,,
,,Check scope and location of in-line and stand-by spares,,,,
,D,Piping and Ducting,,,,
,,Major Pipe and ducting runs defined,,,,
,,Consider by-pass lines,,,,
,,"Check pipe rack elevations, locations and battery limits",,,,
,,Check valve locations and their access for operation and maintenance,,,,
,,Consider layout of large gas ducting runs to minimize elbows and bends for pressure drop reduction,,,,
,,Check pipe and ducting material specifications,,,,
,,Consider support philosophy for large ducts with the objective of minimizing separate support duct towers,,,,
,,Consider pipe runs for access and removal of  equipment valves and other instruments,,,,
,,"Take special consideration of layout and design of piping systems which contain fluids with suspended solids that can settle and block the piping. Ensure adequate straight runs and flanges for cleaning blocked pipes, long radius elbows etc.",,,,
,,Relief Valve philosophy/vent location,,,,
,,Check battery limits definitions,,,,
,,Ensure sumps and drains are fully defined,,,,
,,Check utility point locations,,,,
,,Check condensate drops are vertical.,,,,
,E,Instrumentation and Electrical,,,,
,,"Location and access to MCC, switchgear, termination panels",,,,
,,"Hazardous Area locations, vent locations.",,,,
,,"Electrical supply locations, battery limits.",,,,
,,Location and routing of cable trays,,,,
,,Transmitter locations,,,,
,,Location of earthing circuits,,,,
,,Review location of lighting and compliance with client specification,,,,
,,Review electrical equipment locations,,,,
,,"Review location and access to field control panels for rotating equipment, burners, pre-heaters, ESPs, etc",,,,
,,"Review Control room location, access and cable routing to DCS. Review DCS cabinet locations including marshalling and field control. Review DCS operator and Engineering control stations",,,,
,F,Miscellaneous,,,,
,,Emergency escape routes,,,,
,,Check operator routes,,,,
,,Consider access for emergency crews,,,,
,,Hose locations,,,,
,,Fire safety,,,,
,,"Fire water, potable water and sewer lines location",,,,
,,Hazardous gas detectors where applicable,,,,
