# doc_id=0-LST-4008 discipline=0 revision=R0
col_0,Codes,col_2,col_3,Process,Equipment,CSA,Ele,Instru.,D.O.
,,DRAWINGS (HEADER ONLY),,,,,,,
1.0,1000.0,"General: Change block titles, OR FOR COST ROLL UP",1.0,x,x,x,x,x,x
1.0,1001.0,Standards Drawings: Review and issue Standard Drawings,,,,x,,,x
,1002.0,"Block Flow Drawings: Prepare, review anc issue Block Flow Drawings",,,,,,,
,1003~1009,Project Specified: User Defined for engineering deliverables not typical for Chemetics,,,,,,,
1.0,1010.0,P&IDs: All work on P&IDs.,1.0,x,x,,x,x,x
1.0,1020.0,Plant Layout Drawings: Review and issue Plant Layout Drawings including Plant Perspective drawings from PDMS model,,,x,,,,x
,1025.0,"Plant Perspective Drawings: Prepare, review and issue drawings from PDMS model",,,,,,,
1.0,1030.0,"Site Preparation Drawings: Obtain Geo-Tech Report, Prepare, check and issue drawings.",1.0,,,x,,,
1.0,1040.0,"Grading & Earthwork Drawings: Prepare, check and issue drawings, including final grading drawing",1.0,,,x,,,
1.0,1050.0,"Location Drawings:  Prepare, check and issue drawings. Includes equipment foundation location drawing, instrument conduit and cable tray, power and control layouts, Emergency Escape route and Safety Equipment location drawings.",1.0,,x,,x,x,x
1.0,1090.0,"Equipment Support Criteria Drawings:  Develop, review and issue support criteria drawings.",1.0,,x,,,,x
1.0,1100.0,"Piping & Ducting Support Criteria Drawings:  Develop, review and issue support criteria drawings.",1.0,,x,,,,x
,1120.0,"Electrical Special Equipment Installation Detail Drawings: Develop, review, ad issue drawings for Electrical Special Equipment such as polarizer connections to electrolyzer cells",,,,,,,
1.0,1130.0,"M & E Balance and Flow sheets(PFDs): All work on flow sheets, mass balance & utility block diagrams",1.0,x,,,,,
,1140.0,"Piping Specialty (PSI) Drawings: Prepare, check and PSI drawings",,,,,,,
1.0,1170.0,"Tie-in Details:  Prepare, check and Issue drawings, including interface drawings.",1.0,,x,,,,x
1.0,1190.0,"Outline Drawings:  Prepare, check and issue drawings",1.0,,x,,,,x
1.0,1210.0,"Detail Drawings:  Prepare, check and issue drawings.",1.0,,x,,,,x
1.0,1230.0,"Vessel Trim Drawings:  Prepare, check and issue drawings.",1.0,,x,,,,x
1.0,1510,Finishing Schedules:  Prepare and issue finishing schedules.,1.0,,,x,,,
1.0,1530,"Wiring, Rack and Panel Drawings:  Prepare, check and issue drawings.",1.0,,,,x,,
1.0,1540.0,"DCS/PLC Block Diagram:  Develop, review and issue DCS/PLC Block Diagram.  Include all interface communications to various mechanical packages.  Include communications links to existing Owner systems.",,,,,,x,
,1560.0,Instrument Dimensional Drawings: Prepare and issue drawings,,,,,,,
1.0,1570,Logic Diagrams: Prepare and issue logic diagrams.,1.0,,,,,x,
