# doc_id=0-REP-8007 table=8 inline=true
Step 4,Step 4,Develop Hazard Controls,Develop Hazard Controls,Develop Hazard Controls
Apply the “Hierarchy of Risk Control”:,Apply the “Hierarchy of Risk Control”:,Apply the “Hierarchy of Risk Control”:,Apply the “Hierarchy of Risk Control”:,Apply the “Hierarchy of Risk Control”:
Most Effective,Elimination or substitution of the process/substance.,Elimination or substitution of the process/substance.,Elimination or substitution of the process/substance.,Elimination or substitution of the process/substance.
,"Engineering controls, eg. guards, mechanical aids.","Engineering controls, eg. guards, mechanical aids.","Engineering controls, eg. guards, mechanical aids.","Engineering controls, eg. guards, mechanical aids."
,"Administration controls, eg. reducing exposure time, rotating employees, procedures, signage","Administration controls, eg. reducing exposure time, rotating employees, procedures, signage","Administration controls, eg. reducing exposure time, rotating employees, procedures, signage","Administration controls, eg. reducing exposure time, rotating employees, procedures, signage"
Least Effective,Personal Protective Equipment (PPE),Personal Protective Equipment (PPE),Personal Protective Equipment (PPE),Personal Protective Equipment (PPE)
Step 5,Step 5,Review the JHA Record,Review the JHA Record,Review the JHA Record
Complete the JHA form under the headings:,Complete the JHA form under the headings:,Complete the JHA form under the headings:,Complete the JHA form under the headings:,Complete the JHA form under the headings:
Task/ Activity,Task/ Activity,Task/ Activity,Risk ranking,Risk ranking
Potential hazards,Potential hazards,Potential hazards,Responsible person,Responsible person
Control Measures,Control Measures,Control Measures,Do the job once the JHA is signed off.,Do the job once the JHA is signed off.
Step 6,Step 6,Step 6,Integrate into Training,Integrate into Training
Integrate risk management controls into worker training,Integrate risk management controls into worker training,Integrate risk management controls into worker training,Integrate risk management controls into worker training,Integrate risk management controls into worker training
Step 7,Step 7,Re-evaluate,Re-evaluate,Re-evaluate
Review of the JHA should occur when:,Review of the JHA should occur when:,Review of the JHA should occur when:,Review of the JHA should occur when:,Review of the JHA should occur when:
The task is completed,The task is completed,The task is completed,The task is completed,Further hazards are identified
The method of performing the task changes,The method of performing the task changes,The method of performing the task changes,The method of performing the task changes,The task is done again
