# doc_id=5-LST-0003-2 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Acid Plant)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18,col_19,col_20,col_21
,Project Title,,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Standard-5-LST-0003-2-R0,,,,,,
,Service Code,Fluid,Fluid Composition,Material Description / Application,ASME B31.3 Fluid Class,Pressure Test Method,Flange Guard,"Corr. Allow.
(mm)","Service Pres.
(kPag)","Service Temp.
(oC)","Pipe Spec Service Limit
(kPag @ oC)",Pipe Spec,Gasket Spec,Valve Application,Valve Code,"Valve Size
(Min)","Valve Size
(Max)",Notes,,sort,type
,AA,Atmospheric Air,,Carbon Steel Duct,N/A,Service,No,1.5,-7 to 7 †,343 *,81 @ 450 *,CD6 *,W,On-Off / Isolation (ball),V1214,15,150,"V1214 < 260ºC only.
* Typical temperature at turndown may be higher (450oC) for cooler recycle.  For service temperatures below 300oC use pipe spec CD7.
† Vacuum requires custom design",,1.0,Sulphur Burning + Metallurgical
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1213,15,150,V1213 > 260ºC,,2.0,Sulphur Burning + Metallurgical
,,,,,,,,,,,,,,Damper,V2411,400,1800,,,3.0,Sulphur Burning + Metallurgical
,,,,Carbon Steel Duct,N/A,Service,No,1.5,-7 to 7 †,300,81 @ 300,CD7,W,On-Off / Isolation (ball),V1214,15,150,V1214 < 260ºC only.                          † Vacuum requires custom design,,1.0,Sulphur Burning + Metallurgical
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1213,15,150,V1213 > 260ºC,,2.0,Sulphur Burning + Metallurgical
,,,,,,,,,,,,,,Damper,V2411,400,1800,,,3.0,Sulphur Burning + Metallurgical
,CG,Calciner Off Gas,,Carbon Steel Duct,N/A,Service,No,1.5,-7 to 7 †,340,81 @ 450,CD6,R,,,,,† Vacuum requires custom design.,,,
,,,,Carbon Steel Duct,N/A,Service,No,1.5,-7 to 7 †,300,81 @ 300,CD7,R,,,,,† Vacuum requires custom design.,,,
,CHP,"Steam Condensate, High Pressure",,*,,,,,,,,,,,,,,* Use materials from the applicable high pressure steam service (JHP or JSH),,,
