# doc_id=9-LST-0708 discipline=9 revision=R0
Items to be checked:,
Correct location.,
Check for proper fastening to floor (cinch anchors).,
Check oil level as per manufacturers requirements.,
"Check if transformer(s) is completely assembled including the following:
Radiators	If required
Fans	If required
Protection devices cabled for on the drawings and schematics",
"Check if units (s) are completely wired:
Incoming feeder(s) (correct cable size, phase sequence terminations and connectors)
Outgoing feeder(s) (same as above)
All control and protection devices including alarms",
Transformer area clean.,
Transformer grounding connections made as per drawings.,
Check oil spill containment as per drawings including drain.,
Check nameplate attached and correct.,
