# doc_id=0-REP-8405 table=19 inline=true
,Inquiry Item,Yes,No,Copy of Document Required,N/A
1,"Corporate Mission Statement or Safety Credo that addresses the Corporate Health, Safety and Environmental (HSE) practices/procedures.",,,X,
2,Corporate HSE management system.,,,X,
3,Current HSE goals that have been established by senior corporate management.,,,X,
4,"Attach a list of your HSE personnel, including resumes, and the Corporate Org Chart showing reporting lines for the HSE personnel.",,,X,
5,"Provide the Corporate HSE policies and procedures, e.g., safety manual or other type of formal written.",,,X,
6,A brief description of how your corporate organization manages HSE with lower-tier subsubcontractors including the evaluation and selection process of those lower-tier Subcontractors.,,,X,
7,Attach a copy of a new hire orientation procedure and project specific HSE orientation procedures and documentation examples.,,,X,
8,What programs do you use to encourage employee involvement in HSE (on and off projects) and attach supporting examples and documentation?,,,X,
9,Does your company conduct toolbox safety meetings?  Daily_____ Weekly_____ Monthly_____ What Day(s) of the week_________  Attach examples of the format and documentation of such meetings.,,,X,
10,"What risk identification tools do you use on projects, e.g., audits, walk through, inspection, observation program, etc. and how often are they performed?  Attach examples and documentation.",,,X,
11,Does your company have an employee awards/recognition program with a formal structure?,,,X,
12,Does your company have an ongoing or continuing safety-training program for all employees at the project sites?  List each program explaining the purpose and content.,,,X,
13,Does your company have a written emergency response plan?  Attach a copy of completed plan for a recent project.,,,X,
14,Does your company have emergency response drills?  What are the frequencies of the drills? ______________________,,,X,
15,Does your company use a job safety analysis procedure?  Attach a copy of a completed JSA on a recent project.,,,X,
16,"Does your company have an alcohol and drug-free workplace policy.
This is administered by ____________________________________.  Provide written copy of policy if not included in HSE procedures/policies.",,,X,
17,"Does your firm develop project specific HSE site management plans?  Provide copies of how items such as the lunch area, toilets, weather issues, rodents/insect issues, area security, safety, camp security, etc. are addressed.  Provide sample details of recent project plan.",,,X,
18,"Explain how you communicate HSE related alerts, inspections, incidents, etc to employees.",,,X,
19,List all HSE leading indicators that you utilize and explain how you measure or track them.,,,X,
20,"List what major challenges you company has had with HSE that past 3 years and how your company has learned, grown, changes, responded, and improved HSE execution. What is your next plan to “step-change” in this respect?",,,X,
21,"Do you conduct physical fitness examinations on employees?  If physical fitness examinations are given, provide examination protocol.",,,X,
